State,Latitude,Longitude
Andhra Pradesh,16.5062,80.648
Arunachal Pradesh,27.0844,93.6053
Assam,26.2006,92.9376
Bihar,25.6094,85.124
Chhattisgarh,21.2787,81.8661
Goa,15.2993,74.124
Gujarat,23.0225,72.5714
Haryana,28.6139,77.209
Himachal Pradesh,31.1048,77.1734
Jharkhand,23.6102,85.2799
Karnataka,12.9716,77.5946
Kerala,8.5241,76.9366
Madhya Pradesh,23.2599,77.4126
Maharashtra,19.076,72.8777
Manipur,24.6637,93.9063
Meghalaya,25.467,91.3662
Mizoram,23.1645,92.9376
Nagaland,26.1584,94.5624
Odisha,20.9517,85.0985
Punjab,30.7333,76.7794
Rajasthan,26.9124,75.7873
Sikkim,27.533,88.5122
Tamil Nadu,13.0827,80.2707
Telangana,17.385,78.4867
Tripura,23.9408,91.9882
Uttar Pradesh,26.8467,80.9462
Uttarakhand,30.0668,79.0193
West Bengal,22.5726,88.3639
